""," Date "," Package "," Title "
"91","2017-03-04","nleqslv","Solve Systems of Nonlinear Equations"
"92","2017-03-04","nproc","Neyman-Pearson Receiver Operating Characteristics"
"93","2017-03-04","PWEALL","Design and Monitoring of Survival Trials Accounting for Complex
Situations"
"94","2017-03-04","RcppGSL","'Rcpp' Integration for 'GNU GSL' Vectors and Matrices"
"95","2017-03-04","RcppShark","R Interface to the Shark Machine Learning Library"
"96","2017-03-04","rotl","Interface to the 'Open Tree of Life' API"
"97","2017-03-04","RSiteCatalyst","R Client for Adobe Analytics API V1.4"
"98","2017-03-04","Sequential","Exact Sequential Analysis for Poisson and Binomial Data"
"99","2017-03-04","shinyjqui","'jQuery UI' Interactions and Effects for Shiny"
"100","2017-03-04","sitree","Single Tree Simulator"
"101","2017-03-04","SubgrpID","Patient Subgroup Identification for Clinical Drug Development"
"102","2017-03-04","VertexSort","Network Decomposition and Randomization"
"103","2017-03-04","ziphsmm","Zero-Inflated Poisson Hidden (Semi-)Markov Models"
"104","2017-03-03","assertable","Verbose Assertions for Tabular Data (Data.frames and
Data.tables)"
"105","2017-03-03","aucm","AUC Maximization"
"106","2017-03-03","brt","Biological Relevance Testing"
"107","2017-03-03","CensSpatial","Censored Spatial Models"
"108","2017-03-03","cghRA","Array CGH Data Analysis and Visualization"
"109","2017-03-03","cronR","Schedule R Scripts and Processes with the 'cron' Job Scheduler"
"110","2017-03-03","Demerelate","Functions to Calculate Relatedness on Diploid Genetic Data"
"111","2017-03-03","disco","Discordance and Concordance of Transcriptomic Responses"
"112","2017-03-03","Dpit","Distribution Pitting"
"113","2017-03-03","EcoGenetics","Spatial Analysis of Phenotypic, Genotypic and Environmental Data"
"114","2017-03-03","hddtools","Hydrological Data Discovery Tools"
"115","2017-03-03","httk","High-Throughput Toxicokinetics"
"116","2017-03-03","learningCurve","An Implementation of Crawford's and Wright's Learning Curve
Production Functions"
"117","2017-03-03","MDPtoolbox","Markov Decision Processes Toolbox"
"118","2017-03-03","neurobase","'Neuroconductor' Base Package with Helper Functions for 'nifti'
Objects"
"119","2017-03-03","PearsonDS","Pearson Distribution System"
"120","2017-03-03","RBMRB","BMRB Data Access and Visualization"
"121","2017-03-03","rcompanion","Functions to Support Extension Education Program Evaluation"
"122","2017-03-03","RcppSMC","Rcpp Bindings for Sequential Monte Carlo"
"123","2017-03-03","Rgb","The R Genome Browser"
"124","2017-03-03","sskm","Stable Sparse K-Means"
"125","2017-03-03","taskscheduleR","Schedule R Scripts and Processes with the Windows Task Scheduler"
"126","2017-03-03","texreg","Conversion of R Regression Output to LaTeX or HTML Tables"
"127","2017-03-03","tidyquant","Tidy Quantitative Financial Analysis"
"128","2017-03-02","AnnotationBustR","Extract Subsequences from GenBank Annotations"
"129","2017-03-02","arc","Association Rule Classification"
"130","2017-03-02","bife","Binary Choice Models with Fixed Effects"
"131","2017-03-02","BIFIEsurvey","Tools for Survey Statistics in Educational Assessment"
"132","2017-03-02","BNPdensity","Ferguson-Klass Type Algorithm for Posterior Normalized Random
Measures"
"133","2017-03-02","Brq","Bayesian Analysis of Quantile Regression Models"
"134","2017-03-02","CDVineCopulaConditional","Sampling from Conditional C- and D-Vine Copulas"
"135","2017-03-02","CompetingRisk","The Semi-Parametric Cumulative Incidence Function"
"136","2017-03-02","cpt","Classification Permutation Test"
"137","2017-03-02","cropdatape","Open Data of Agricultural Production of Crops of Peru"
"138","2017-03-02","d3r","'d3.js' Utilities for R"
"139","2017-03-02","DiversityOccupancy","Building Diversity Models from Multiple Species Occupancy Models"
"140","2017-03-02","DSAIDE","Dynamical Systems Approach to Infectious Disease Epidemiology"
"141","2017-03-02","erp.easy","Event-Related Potential (ERP) Data Exploration Made Easy"
"142","2017-03-02","fitplc","Fit Hydraulic Vulnerability Curves"
"143","2017-03-02","flan","FLuctuation ANalysis on Mutation Models"
"144","2017-03-02","gaiah","Genetic and Isotopic Assignment Accounting for Habitat
Suitability"
"145","2017-03-02","googleAuthR","Easy Authentication with Google OAuth2 API"
"146","2017-03-02","gquad","Prediction of G Quadruplexes and Other Non-B DNA Motifs"
"147","2017-03-02","icesAdvice","Functions Related to ICES Advice"
"148","2017-03-02","ipft","Indoor Positioning Fingerprinting Toolset"
"149","2017-03-02","isa2","The Iterative Signature Algorithm"
"150","2017-03-02","kableExtra","Construct Complex Table with 'Kable' and Pipe Syntax"
"151","2017-03-02","keypress","Wait for a Key Press in a Terminal"
"152","2017-03-02","kirby21.base","Example Data from the Multi-Modal MRI Reproducibility Resource"
"153","2017-03-02","kirby21.fmri","Example Functional Imaging Data from the Multi-Modal MRI
Reproducibility Resource"
"154","2017-03-02","kirby21.t1","Example T1 Structural Data from the Multi-Modal MRI
Reproducibility Resource"
"155","2017-03-02","koRpus","An R Package for Text Analysis"
"156","2017-03-02","lexRankr","Extractive Summarization of Text with the LexRank Algorithm"
"157","2017-03-02","liquidSVM","A Fast and Versatile SVM Package"
"158","2017-03-02","maxstat","Maximally Selected Rank Statistics"
"159","2017-03-02","MetaComp","EDGE Taxonomy Assignments Visualization"
"160","2017-03-02","mirt","Multidimensional Item Response Theory"
"161","2017-03-02","mirtCAT","Computerized Adaptive Testing with Multidimensional Item
Response Theory"
"162","2017-03-02","msgtools","Tools for Developing Diagnostic Messages"
"163","2017-03-02","MVar.pt","Analise multivariada (brazilian portuguese)"
"164","2017-03-02","mvtnorm","Multivariate Normal and t Distributions"
"165","2017-03-02","parsedate","Recognize and Parse Dates in Various Formats, Including All ISO
8601 Formats"
"166","2017-03-02","pinbasic","Fast and Stable Estimation of the Probability of Informed
Trading (PIN)"
"167","2017-03-02","pingr","Check if a Remote Computer is Up"
"168","2017-03-02","QuantumClone","Clustering Mutations using High Throughput Sequencing (HTS) Data"
"169","2017-03-02","regsem","Performs Regularization on Structural Equation Models"
"170","2017-03-02","RInno","A Local Deployment Framework for Shiny Apps"
"171","2017-03-02","sand","Statistical Analysis of Network Data with R"
"172","2017-03-02","sirt","Supplementary Item Response Theory Models"
"173","2017-03-02","sommer","Solving Mixed Model Equations in R"
"174","2017-03-02","SpatialVx","Spatial Forecast Verification"
"175","2017-03-02","STPGA","Selection of Training Populations by Genetic Algorithm"
"176","2017-03-02","swirl","Learn R, in R"
"177","2017-03-02","TAM","Test Analysis Modules"
"178","2017-03-02","tm","Text Mining Package"
"179","2017-03-02","WhopGenome","High-Speed Processing of VCF, FASTA and Alignment Data"
"180","2017-03-02","WPKDE","Weighted Piecewise Kernel Density Estimation"
"181","2017-03-02","xyloplot","A Method for Creating Xylophone-Like Frequency Density Plots"
"182","2017-03-02","ZeligChoice","Zelig Choice Models"
"183","2017-03-01","basefun","Infrastructure for Computing with Basis Functions"
"184","2017-03-01","BeviMed","Bayesian Evaluation of Variant Involvement in Mendelian Disease"
"185","2017-03-01","commonmark","High Performance CommonMark and Github Markdown Rendering in R"
"186","2017-03-01","debugme","Debug R Packages"
"187","2017-03-01","dotenv","Load Environment Variables from '.env'"
"188","2017-03-01","ecm","Build Error Correction Models"
"189","2017-03-01","exactRankTests","Exact Distributions for Rank and Permutation Tests"
"190","2017-03-01","FedData","Functions to Automate Downloading Geospatial Data Available from
Several Federated Data Sources"
"191","2017-03-01","ipred","Improved Predictors"
"192","2017-03-01","mongolite","Fast and Simple 'MongoDB' Client for R"
"193","2017-03-01","mvdalab","Multivariate Data Analysis Laboratory"
"194","2017-03-01","officer","Manipulation of Microsoft Word and PowerPoint Documents"
"195","2017-03-01","overlap","Estimates of Coefficient of Overlapping for Animal Activity
Patterns"
"196","2017-03-01","pbapply","Adding Progress Bar to '*apply' Functions"
"197","2017-03-01","plspolychaos","Sensitivity Indexes from Polynomial Chaos Expansions and PLS"
"198","2017-03-01","polychaosbasics","Sensitivity Indexes Calculated from Polynomial Chaos Expansions"
"199","2017-03-01","pomp","Statistical Inference for Partially Observed Markov Processes"
"200","2017-03-01","prediction","Tidy, Type-Safe 'prediction()' Methods"
"201","2017-03-01","pssm","Piecewise Exponential Model for Time to Progression and Time
from Progression to Death"
"202","2017-03-01","R4CouchDB","A R Convenience Layer for CouchDB 2.0"
"203","2017-03-01","randomLCA","Random Effects Latent Class Analysis"
"204","2017-03-01","tidyRSS","Tidy RSS for R"
"205","2017-03-01","TraMineRextras","TraMineR Extension"
"206","2017-02-28","Compositional","Compositional Data Analysis"
"207","2017-02-28","dglars","Differential Geometric Least Angle Regression"
"208","2017-02-28","DiffNet","Detection of Statistically Significant Changes in Complex
Biological Networks"
"209","2017-02-28","fastnet","Large-Scale Social Network Analysis"
"210","2017-02-28","FunChisq","Chi-Square and Exact Tests for Non-Parametric Functional
Dependencies"
"211","2017-02-28","funtimes","Functions for Time Series Analysis"
"212","2017-02-28","geojson","Classes for 'GeoJSON'"
"213","2017-02-28","ghit","Lightweight GitHub Package Installer"
"214","2017-02-28","GLDreg","Fit GLD Regression Model and GLD Quantile Regression Model to
Empirical Data"
"215","2017-02-28","glm.ddR","Distributed 'glm' for Big Data using 'ddR' API"
"216","2017-02-28","Haplin","Analyzing Case-Parent Triad and/or Case-Control Data with SNP
Haplotypes"
"217","2017-02-28","HRM","High-Dimensional Repeated Measures"
"218","2017-02-28","HSAUR2","A Handbook of Statistical Analyses Using R (2nd Edition)"
"219","2017-02-28","HSAUR3","A Handbook of Statistical Analyses Using R (3rd Edition)"
"220","2017-02-28","ImputeRobust","Robust Multiple Imputation with Generalized Additive Models for
Location Scale and Shape"
"221","2017-02-28","IndianTaxCalc","Indian Income Tax Calculator"
"222","2017-02-28","jsonlite","A Robust, High Performance JSON Parser and Generator for R"
"223","2017-02-28","LTRCtrees","Survival Trees to Fit Left-Truncated and Right-Censored and
Interval-Censored Survival Data"
"224","2017-02-28","lumendb","Lumen Database API Client"
"225","2017-02-28","operator.tools","Utilities for Working with R's Operators"
"226","2017-02-28","PRISMA","Protocol Inspection and State Machine Analysis"
"227","2017-02-28","R.filesets","Easy Handling of and Access to Files Organized in Structured
Directories"
"228","2017-02-28","randgeo","Generate Random 'WKT' or 'GeoJSON'"
"229","2017-02-28","rcc","Parametric Bootstrapping to Control Rank Conditional Coverage"
"230","2017-02-28","ResourceSelection","Resource Selection (Probability) Functions for Use-Availability
Data"
"231","2017-02-28","rospca","Robust Sparse PCA using the ROSPCA Algorithm"
"232","2017-02-28","rpgm","Fast Simulation of Normal Random Variables"
"233","2017-02-28","RPMM","Recursively Partitioned Mixture Model"
"234","2017-02-28","surrosurv","Evaluation of Failure Time Surrogate Endpoints in Individual
Patient Data Meta-Analyses"
"235","2017-02-28","topicmodels","Topic Models"
"236","2017-02-28","vardpoor","Variance Estimation for Sample Surveys by the Ultimate Cluster
Method"
"237","2017-02-28","Zelig","Everyone's Statistical Software"
"238","2017-02-27","apa","Format Outputs of Statistical Tests According to APA Guidelines"
"239","2017-02-27","bgmm","Gaussian Mixture Modeling Algorithms and the Belief-Based
Mixture Modeling"
"240","2017-02-27","blockcluster","Coclustering Package for Binary, Categorical, Contingency and
Continuous Data-Sets"
"241","2017-02-27","BNSP","Bayesian Non- And Semi-Parametric Model Fitting"
"242","2017-02-27","bootstrap","Functions for the Book ""An Introduction to the Bootstrap"""
"243","2017-02-27","CAvariants","Correspondence Analysis Variants"
"244","2017-02-27","diffr","Display Differences Between Two Files using Codediff Library"
"245","2017-02-27","Directional","Directional Statistics"
"246","2017-02-27","dirmcmc","Directional Metropolis Hastings Algorithm"
"247","2017-02-27","easyPubMed","Search and Retrieve Scientific Publication Records from PubMed"
"248","2017-02-27","extdplyr","Data Manipulation Extensions of 'Dplyr' and 'Tidyr'"
"249","2017-02-27","flacco","Feature-Based Landscape Analysis of Continuous and Constraint
Optimization Problems"
"250","2017-02-27","fontHind","Additional 'ggplot2' Themes Using 'Hind' Fonts"
"251","2017-02-27","fontMPlus","Additional 'ggplot2' Themes Using 'M+' Fonts"
"252","2017-02-27","formula.tools","Utilities for Formulas, Expressions, Calls and Other Objects"
"253","2017-02-27","gbts","Hyperparameter Search for Gradient Boosted Trees"
"254","2017-02-27","gdm","Generalized Dissimilarity Modeling"
"255","2017-02-27","inpdfr","Analyse Text Documents Using Ecological Tools"
"256","2017-02-27","inum","Interval and Enum-Type Representation of Vectors"
"257","2017-02-27","jtools","Analyzing and Presenting Social Scientific Data"
"258","2017-02-27","leafletCN","An R Gallery for China and Other Geojson Choropleth Map in
Leaflet"
"259","2017-02-27","mets","Analysis of Multivariate Event Times"
"260","2017-02-27","misreport","Statistical Analysis of Misreporting on Sensitive Survey
Questions"
"261","2017-02-27","mixOmics","Omics Data Integration Project"
"262","2017-02-27","mudata","Interchange Tools for Multi-Parameter Spatiotemporal Data"
"263","2017-02-27","nodiv","Compares the Distribution of Sister Clades Through a Phylogeny"
"264","2017-02-27","PanJen","A Semi-Parametric Test for Specifying Functional Form"
"265","2017-02-27","party","A Laboratory for Recursive Partytioning"
"266","2017-02-27","PKNCA","Perform Pharmacokinetic Non-Compartmental Analysis"
"267","2017-02-27","pmml","Generate PMML for Various Models"
"268","2017-02-27","pmmlTransformations","Transforms Input Data from a PMML Perspective"
"269","2017-02-27","polmineR","Toolkit for Corpus Analysis"
"270","2017-02-27","qap","Heuristics for the Quadratic Assignment Problem (QAP)"
"271","2017-02-27","rclimateca","Fetch Climate Data from Environment Canada"
"272","2017-02-27","Rfast","Fast R Functions"
"273","2017-02-27","ridge","Ridge Regression with Automatic Selection of the Penalty
Parameter"
"274","2017-02-27","rmpw","Causal Mediation Analysis Using Weighting Approach"
"275","2017-02-27","SpatialEpiApp","A Shiny Web Application for the Analysis of Spatial and
Spatio-Temporal Disease Data"
"276","2017-02-27","speaq","Tools for Nuclear Magnetic Resonance Spectrum Alignment and
Quantitative Analysis"
"277","2017-02-27","statmod","Statistical Modeling"
"278","2017-02-27","textstem","Tools for Stemming and Lemmatizing Text"
"279","2017-02-27","widgetframe","'Htmlwidgets' in Responsive 'iframes'"
"280","2017-02-27","zeallot","Multiple and Unpacking Variable Assignment"
"281","2017-02-26","automagic","Automagically Document and Install Packages Necessary to Run R
Code"
"282","2017-02-26","AWR.Kinesis","Amazon 'Kinesis' Consumer Application for Stream Processing"
"283","2017-02-26","brms","Bayesian Regression Models using Stan"
"284","2017-02-26","evaluator","Information Security Quantified Risk Assessment Toolkit"
"285","2017-02-26","funModeling","Learn Data Science Through the ""Data Science Live Book"""
"286","2017-02-26","gdistance","Distances and Routes on Geographical Grids"
"287","2017-02-26","hrbrthemes","Additional Themes, Theme Components and Utilities for 'ggplot2'"
"288","2017-02-26","IDPSurvival","Imprecise Dirichlet Process for Survival Analysis"
"289","2017-02-26","MultisiteMediation","Causal Mediation Analysis in Multisite Trials"
"290","2017-02-26","qicharts","Quality Improvement Charts"
"291","2017-02-26","QuantTools","Enhanced Quantitative Trading Modelling"
"292","2017-02-26","stream","Infrastructure for Data Stream Mining"
"293","2017-02-26","TropFishR","Tropical Fisheries Analysis with R"
"294","2017-02-25","betacal","Beta Calibration"
"295","2017-02-25","biogas","Process Biogas Data and Predict Biogas Production"
"296","2017-02-25","copBasic","General Bivariate Copula Theory and Many Utility Functions"
"297","2017-02-25","DMRMark","DMR Detection by Non-Homogeneous Hidden Markov Model from
Methylation Array Data"
"298","2017-02-25","ECharts2Shiny","Embedding Interactive Charts Generated with ECharts Library into
Shiny Applications"
"299","2017-02-25","metacom","Analysis of the 'Elements of Metacommunity Structure'"
"300","2017-02-25","metavcov","Variance-Covariance Matrix for Multivariate Meta-Analysis"
"301","2017-02-25","mixR","Finite Mixture Modeling for Raw and Binned Data"
"302","2017-02-25","Pstat","Assessing Pst Statistics"
"303","2017-02-25","recexcavAAR","3D Reconstruction of Archaeological Excavations"
"304","2017-02-25","RefFreeEWAS","EWAS using Reference-Free DNA Methylation Mixture Deconvolution"
"305","2017-02-25","RSentiment","Analyse Sentiment of English Sentences"
"306","2017-02-25","SARP.moodle","XML Output Functions for Easy Creation of Moodle Questions"
"307","2017-02-24","autoimage","Multiple Heat Maps for Projected Coordinates"
"308","2017-02-24","autothresholdr","An R Port of the 'ImageJ' Plugin 'Auto Threshold'"
"309","2017-02-24","BayesS5","Bayesian Variable Selection Using Simplified Shotgun Stochastic
Search with Screening (S5)"
"310","2017-02-24","blavaan","Bayesian Latent Variable Analysis"
"311","2017-02-24","ccafs","Client for 'CCAFS' 'GCM' Data"
"312","2017-02-24","clustvarsel","Variable Selection for Gaussian Model-Based Clustering"
"313","2017-02-24","DDD","Diversity-Dependent Diversification"
"314","2017-02-24","dynr","Dynamic Modeling in R"
"315","2017-02-24","dynsbm","Dynamic Stochastic Block Models"
"316","2017-02-24","europop","Historical Populations of European Cities, 1500-1800"
"317","2017-02-24","falconx","Finding Allele-Specific Copy Number in Whole-Exome Sequencing
Data"
"318","2017-02-24","ggraph","An Implementation of Grammar of Graphics for Graphs and Networks"
"319","2017-02-24","gss","General Smoothing Splines"
"320","2017-02-24","hasseDiagram","Drawing Hasse Diagram"
"321","2017-02-24","lavaan","Latent Variable Analysis"
"322","2017-02-24","miscset","Miscellaneous Tools Set"
"323","2017-02-24","MMDai","Multivariate Multinomial Distribution Approximation and
Imputation for Incomplete Data"
"324","2017-02-24","msaR","Multiple Sequence Alignment for R Shiny"
"325","2017-02-24","mvLSW","Multivariate, Locally Stationary Wavelet Process Estimation"
"326","2017-02-24","nlsr","Functions for Nonlinear Least Squares Solutions"
"327","2017-02-24","OOBCurve","Out of Bag Learning Curve"
"328","2017-02-24","OpenRepGrid","Tools to Analyse Repertory Grid Data"
"329","2017-02-24","pairwise","Rasch Model Parameters by Pairwise Algorithm"
"330","2017-02-24","profileR","Profile Analysis of Multivariate Data in R"
"331","2017-02-24","rsparkling","R Interface for H2O Sparkling Water"
"332","2017-02-24","RSurvey","Geographic Information System Application"
"333","2017-02-24","RVAideMemoire","Diverse Basic Statistical and Graphical Functions"
"334","2017-02-24","smooth","Forecasting Using Smoothing Functions"
"335","2017-02-24","som.nn","Topological k-NN Classifier Based on Self-Organising Maps"
"336","2017-02-24","TAR","Bayesian Modeling of Autoregressive Threshold Time Series Models"
"337","2017-02-24","walkr","Random Walks in the Intersection of Hyperplanes and the
N-Simplex"
"338","2017-02-24","yuimaGUI","A Graphical User Interface for the 'yuima' Package"
"339","2017-02-23","bestglm","Best Subset GLM"
"340","2017-02-23","catlearn","Formal Modeling for Psychology"
"341","2017-02-23","codingMatrices","Alternative Factor Coding Matrices for Linear Model Formulae"
"342","2017-02-23","CopulaDTA","Copula Based Bivariate Beta-Binomial Model for Diagnostic Test
Accuracy Studies"
"343","2017-02-23","crunch","Crunch.io Data Tools"
"344","2017-02-23","detzrcr","Compare Detrital Zircon Suites"
"345","2017-02-23","distcomp","Computations over Distributed Data without Aggregation"
"346","2017-02-23","EnviroPRA","Environmental Probabilistic Risk Assessment Tools"
"347","2017-02-23","Epi","A Package for Statistical Analysis in Epidemiology"
"348","2017-02-23","equSA","Estimate a Single or Multiple Graphical Models and Construct
Networks"
"349","2017-02-23","europepmc","R Interface to the Europe PubMed Central RESTful Web Service"
"350","2017-02-23","filesstrings","Handy String and File Manipulation"
"351","2017-02-23","forecast","Forecasting Functions for Time Series and Linear Models"
"352","2017-02-23","fpp2","Data for ""Forecasting: Principles and Practice"" (2nd Ed)"
"353","2017-02-23","gower","Gower's Distance"
"354","2017-02-23","GsymPoint","Estimation of the Generalized Symmetry Point, an Optimal
Cutpoint in Continuous Diagnostic Tests"
"355","2017-02-23","InvasionCorrection","Invasion Correction"
"356","2017-02-23","jug","A Simple Web Framework for R"
"357","2017-02-23","lingtypology","Linguistic Typology and Mapping"
"358","2017-02-23","lintools","Manipulation of Linear Systems of (in)Equalities"
"359","2017-02-23","lsasim","Simulate Large Scale Assessment Data"
"360","2017-02-23","MAMS","Designing Multi-Arm Multi-Stage Studies"
"361","2017-02-23","maptools","Tools for Reading and Handling Spatial Objects"
"362","2017-02-23","Mcomp","Data from the M-Competitions"
"363","2017-02-23","MDplot","Visualising Molecular Dynamics Analyses"
"364","2017-02-23","naptime","A Flexible and Robust Sys.sleep() Replacement"
"365","2017-02-23","neighbr","Classification, Regression, Clustering with K Nearest Neighbors"
"366","2017-02-23","optiSel","Optimum Contribution Selection and Population Genetics"
"367","2017-02-23","planor","Generation of Regular Factorial Designs"
"368","2017-02-23","pltesim","Simulate Probabilistic Long-Term Effects in Models with Temporal
Dependence"
"369","2017-02-23","prefeR","R Package for Pairwise Preference Elicitation"
"370","2017-02-23","red","IUCN Redlisting Tools"
"371","2017-02-23","rNOMADS","An Interface to the NOAA Operational Model Archive and
Distribution System"
"372","2017-02-23","robustarima","Robust ARIMA Modeling"
"373","2017-02-23","sdcTable","Methods for Statistical Disclosure Control in Tabular Data"
"374","2017-02-23","spdep","Spatial Dependence: Weighting Schemes, Statistics and Models"
"375","2017-02-23","sppmix","Modeling Spatial Poisson and Related Point Processes"
